iter	Passed	Remaining
708	1127	462
709	1128	461
710	1130	459
711	1131	457
712	1133	456
713	1134	454
714	1135	452
715	1137	451
716	1138	449
717	1140	447
718	1142	446
719	1143	444
720	1145	443
721	1146	441
722	1148	439
723	1149	438
724	1151	436
725	1153	435
726	1154	433
727	1156	432
728	1158	430
729	1159	428
730	1161	427
731	1162	425
732	1163	423
733	1165	422
734	1167	420
735	1169	419
736	1171	417
737	1172	416
738	1174	414
739	1175	413
740	1177	411
741	1179	409
742	1180	408
743	1181	406
744	1183	404
745	1184	403
746	1185	401
747	1187	399
748	1188	398
749	1189	396
750	1190	394
751	1191	393
752	1193	391
753	1194	389
754	1196	388
755	1197	386
756	1199	384
757	1200	383
758	1201	381
759	1203	379
760	1204	378
761	1205	376
762	1207	374
763	1208	373
764	1209	371
765	1210	369
766	1212	368
767	1213	366
768	1215	364
769	1216	363
770	1217	361
771	1218	359
772	1219	358
773	1221	356
774	1222	354
775	1223	353
776	1225	351
777	1226	349
778	1228	348
779	1229	346
780	1230	345
781	1231	343
782	1233	341
783	1234	340
784	1235	338
785	1237	336
786	1238	335
787	1239	333
788	1241	331
789	1242	330
790	1243	328
791	1245	327
792	1246	325
793	1248	323
794	1249	322
795	1250	320
796	1251	318
797	1253	317
798	1254	315
799	1255	313
800	1257	312
801	1258	310
802	1259	309
803	1261	307
804	1262	305
805	1263	304
806	1265	302
807	1266	300
808	1267	299
809	1268	297
810	1270	296
811	1271	294
812	1272	292
813	1274	291
814	1275	289
815	1276	287
816	1278	286
817	1280	284
818	1281	283
819	1283	281
820	1285	280
821	1286	278
822	1288	277
823	1290	275
824	1291	274
825	1293	272
826	1295	270
827	1296	269
828	1298	267
829	1300	266
830	1301	264
831	1303	263
832	1304	261
833	1306	260
834	1308	258
835	1310	257
836	1312	255
837	1313	254
838	1315	252
839	1317	250
840	1318	249
841	1320	247
842	1321	246
843	1323	244
844	1324	243
845	1326	241
846	1328	239
847	1329	238
848	1330	236
849	1332	235
850	1334	233
851	1336	232
852	1338	230
853	1339	229
854	1341	227
855	1343	226
856	1345	224
857	1346	222
858	1348	221
859	1350	219
860	1352	218
861	1353	216
862	1355	215
863	1356	213
864	1357	211
865	1359	210
866	1360	208
867	1362	207
868	1363	205
869	1364	203
870	1366	202
871	1367	200
872	1369	199
873	1370	197
874	1372	196
875	1373	194
876	1374	192
877	1376	191
878	1378	189
879	1380	188
880	1381	186
881	1383	185
882	1385	183
883	1386	181
884	1387	180
885	1389	178
886	1390	177
887	1391	175
888	1393	173
889	1395	172
890	1396	170
891	1398	169
892	1400	167
893	1401	166
894	1403	164
895	1405	163
896	1406	161
897	1407	159
898	1409	158
899	1411	156
900	1412	155
901	1414	153
902	1415	152
903	1417	150
904	1418	148
905	1419	147
906	1421	145
907	1422	144
908	1424	142
909	1425	141
910	1427	139
911	1429	137
912	1431	136
913	1433	134
914	1434	133
915	1435	131
916	1437	130
917	1438	128
918	1440	126
919	1441	125
920	1443	123
921	1445	122
922	1447	120
923	1448	119
924	1450	117
925	1451	116
926	1453	114
927	1454	112
928	1456	111
929	1457	109
930	1459	108
931	1460	106
932	1461	104
933	1463	103
934	1465	101
935	1466	100
936	1467	98
937	1469	97
938	1470	95
939	1472	93
940	1473	92
941	1475	90
942	1477	89
943	1478	87
944	1480	86
945	1481	84
946	1483	83
947	1485	81
948	1486	79
949	1488	78
950	1490	76
951	1491	75
952	1493	73
953	1495	72
954	1497	70
955	1498	68
956	1500	67
957	1502	65
958	1503	64
959	1505	62
960	1506	61
961	1508	59
962	1510	58
963	1512	56
964	1513	54
965	1515	53
966	1517	51
967	1518	50
968	1520	48
969	1522	47
970	1523	45
971	1525	43
972	1526	42
973	1528	40
974	1530	39
975	1531	37
976	1534	36
977	1536	34
978	1537	32
979	1539	31
980	1540	29
981	1542	28
982	1544	26
983	1545	25
984	1547	23
985	1548	21
986	1550	20
987	1552	18
988	1554	17
989	1559	15
990	1563	14
991	1566	12
992	1567	11
993	1570	9
994	1572	7
995	1573	6
996	1575	4
997	1577	3
998	1578	1
999	1579	0
